[02.05.2025 23:23:46] 192.168.0.13:7680 -> 192.168.0.15:64636, Seq=1445756635, Флаги=17
[02.05.2025 23:23:46] 192.168.0.15:64635 -> 192.168.0.13:7680, Seq=2609213696, Флаги=16
[02.05.2025 23:23:46] 192.168.0.15:64636 -> 192.168.0.13:7680, Seq=3058021903, Флаги=16
[02.05.2025 23:23:46] 192.168.0.15:64635 -> 192.168.0.13:7680, Seq=2609213696, Флаги=17
[02.05.2025 23:23:46] 192.168.0.15:64636 -> 192.168.0.13:7680, Seq=3058021903, Флаги=17
[02.05.2025 23:23:46] 192.168.0.13:7680 -> 192.168.0.15:64635, Seq=3664819592, Флаги=16
[02.05.2025 23:23:46] 192.168.0.13:7680 -> 192.168.0.15:64636, Seq=1445756636, Флаги=16
[02.05.2025 23:23:47] 192.168.0.15:64608 -> 94.23.69.180:8443, Seq=3499731440, Флаги=16
[02.05.2025 23:23:47] 94.23.69.180:8443 -> 192.168.0.15:64608, Seq=1714152435, Флаги=16
[02.05.2025 23:23:47] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812152462, Флаги=16
[02.05.2025 23:23:47] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:23:49] 192.168.0.15:63730 -> 213.180.193.234:443, Seq=2723754152, Флаги=16
[02.05.2025 23:23:49] 213.180.193.234:443 -> 192.168.0.15:63730, Seq=3002151617, Флаги=16
[02.05.2025 23:23:51] 192.168.0.15:64632 -> 91.105.192.100:443, Seq=708273873, Флаги=24
[02.05.2025 23:23:51] 91.105.192.100:443 -> 192.168.0.15:64632, Seq=3729645907, Флаги=16
[02.05.2025 23:23:51] 192.168.0.15:63671 -> 213.180.193.234:443, Seq=2731882955, Флаги=16
[02.05.2025 23:23:51] 213.180.193.234:443 -> 192.168.0.15:63671, Seq=2181202533, Флаги=16
[02.05.2025 23:23:52] 192.168.0.15:63677 -> 213.180.204.91:443, Seq=3541373553, Флаги=16
[02.05.2025 23:23:52] 213.180.204.91:443 -> 192.168.0.15:63677, Seq=3286712893, Флаги=16
[02.05.2025 23:23:52] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412279, Флаги=24
[02.05.2025 23:23:52] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417025, Флаги=24
[02.05.2025 23:23:52] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417045, Флаги=24
[02.05.2025 23:23:52] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412299, Флаги=16
[02.05.2025 23:23:52] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412299, Флаги=24
[02.05.2025 23:23:52] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417065, Флаги=16
[02.05.2025 23:23:52] 192.168.0.15:64421 -> 87.250.251.92:443, Seq=1700537362, Флаги=16
[02.05.2025 23:23:52] 87.250.251.92:443 -> 192.168.0.15:64421, Seq=1542745015, Флаги=16
[02.05.2025 23:23:53] 192.168.0.15:63680 -> 213.180.204.91:443, Seq=936374960, Флаги=16
[02.05.2025 23:23:53] 213.180.204.91:443 -> 192.168.0.15:63680, Seq=533787059, Флаги=16
[02.05.2025 23:23:54] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356114395, Флаги=24
[02.05.2025 23:23:54] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875383942, Флаги=16
[02.05.2025 23:23:54] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875383942, Флаги=24
[02.05.2025 23:23:54] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356114708, Флаги=24
[02.05.2025 23:23:54] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384594, Флаги=16
[02.05.2025 23:23:55] 213.180.204.179:443 -> 192.168.0.15:63673, Seq=1981915042, Флаги=24
[02.05.2025 23:23:55] 192.168.0.15:63673 -> 213.180.204.179:443, Seq=1049449794, Флаги=16
[02.05.2025 23:23:55] 192.168.0.15:63655 -> 74.125.131.188:5228, Seq=1658376419, Флаги=16
[02.05.2025 23:23:55] 74.125.131.188:5228 -> 192.168.0.15:63655, Seq=3402457083, Флаги=16
[02.05.2025 23:23:57] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384594, Флаги=24
[02.05.2025 23:23:57] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356114925, Флаги=16
[02.05.2025 23:24:01] 192.168.0.15:63740 -> 213.180.193.234:443, Seq=2156592873, Флаги=16
[02.05.2025 23:24:01] 213.180.193.234:443 -> 192.168.0.15:63740, Seq=3350680326, Флаги=16
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893901568, Флаги=2
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362309553, Флаги=18
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893901569, Флаги=16
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893901569, Флаги=24
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362309554, Флаги=16
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362309554, Флаги=24
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893901912, Флаги=24
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362309701, Флаги=16
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362309701, Флаги=24
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893902095, Флаги=17
